V | I veicoli a due ruote, con motore termico fino a 50 cm3 di cilindrata e velocità massima di 45 km/h sono ciclomotori
F | In presenza del segnale raffigurato si deve circolare il più possibile vicino alla striscia bianca che separa i sensi di marcia
F | Il segnale raffigurato preannuncia un tratto di strada in cui è consentita la fermata, ma non la sosta
F | Il segnale raffigurato preannuncia un tratto di strada in cui è consentito sorpassare i motocicli, anche invadendo la corsia opposta
F | Il segnale raffigurato preannuncia un tratto di strada in cui è consentito effettuare l'inversione di marcia
F | Il segnale raffigurato preannuncia un tratto di strada in cui è consentito effettuare manovre di retromarcia
F | Il segnale raffigurato preannuncia un tratto di strada in cui è consentito sorpassare i motocicli, anche superando di poco la striscia bianca continua 15 Curva pericolosa a sinistra Figura 5
V | La figura rappresenta un segnale di pericolo
V | Il segnale raffigurato preannuncia una curva pericolosa a sinistra
V | Il segnale raffigurato preannuncia un tratto di strada non rettilineo, che limita la visibilità
V | Il segnale raffigurato preannuncia un tratto di strada che curva a sinistra con limitata visibilità
V | Il segnale raffigurato preannuncia, di norma a 150 metri, una curva pericolosa
V | Il segnale raffigurato preannuncia un tratto di strada pericoloso per ridotta visibilità
V | Il segnale raffigurato richiede di moderare la velocità per potersi arrestare in caso di un ostacolo improvviso
F | La figura rappresenta un segnale di obbligo
F | Il segnale raffigurato preannuncia un ostacolo da aggirare a sinistra
F | La figura rappresenta un divieto di svolta a sinistra
F | Il segnale raffigurato impone l'obbligo di mantenere la sinistra
F | Il segnale raffigurato impone di circolare il più vicino possibile al centro della strada
F | Il segnale raffigurato indica una circolazione rotatoria
F | La figura rappresenta un segnale di prescrizione
F | Il segnale raffigurato indica una deviazione per cantiere di lavoro Curva pericolosa a sinistra (comportamento) Figura 5
V | In presenza del segnale raffigurato, su una strada a doppio senso di circolazione con due sole corsie, si deve circolare il più possibile vicino al margine destro
V | In presenza del segnale raffigurato è necessario regolare la velocità in relazione alla visibilità e al raggio della curva
V | In presenza del segnale raffigurato è necessario percorrere la curva con più attenzione se la strada è bagnata
V | In presenza del segnale raffigurato non è consentito sorpassare altri veicoli su una carreggiata a doppio senso di circo- lazione con due sole corsie
V | In presenza del segnale raffigurato si deve viaggiare ad andatura particolarmente moderata se si circola con il “ruotino” (ruota di soccorso)
F | In presenza del segnale raffigurato, su strada a senso unico di circolazione si deve marciare il più possibile vicino al margine destro della carreggiata
F | In presenza del segnale raffigurato è consentita la fermata ma non la sosta
F | In presenza del segnale raffigurato è consentito, su strada a doppio senso di circolazione a due corsie, sorpassare i motocicli senza invadere la corsia opposta
F | In presenza del segnale raffigurato è consentito effettuare l'inversione di marcia
F | In presenza del segnale raffigurato è consentito effettuare manovre di retromarcia
F | In presenza del segnale raffigurato non è consentito il transito ai veicoli con il “ruotino” (ruota di soccorso) 16 Doppia curva pericolosa, la prima a destra Figura 6 Figura 905 Figura 906
V | Il segnale raffigurato preannuncia una doppia curva pericolosa, la prima a destra
V | Il segnale raffigurato preannuncia un tratto di strada non rettilineo che limita la visibilità
V | Il segnale raffigurato può essere integrato con un pannello indicante TORNANTI
V | Il segnale raffigurato richiede di moderare la velocità per potersi arrestare in caso di un ostacolo improvviso
V | Il segnale raffigurato può essere integrato con il pannello in figura  (FIG 906)
V | La figura rappresenta un segnale di pericolo
V | Il segnale raffigurato preannuncia, di norma a 150 metri, una doppia curva pericolosa
V | In presenza del segnale raffigurato bisogna moderare la velocità
F | Il segnale raffigurato preannuncia una deviazione per lavori in corso
F | Il segnale raffigurato preannuncia un raccordo di uscita autostradale
F | Il segnale raffigurato preannuncia una discesa pericolosa
F | Il segnale raffigurato preannuncia un tratto di strada con superficie sdrucciolevole
F | Il segnale raffigurato preannuncia un incrocio
F | Il segnale raffigurato preannuncia un tratto di strada con pavimentazione irregolare
F | Il segnale con il pannello in figura preannuncia un tratto di strada lungo 3,8 km con una serie di curve pericolose  (FIG 905) Doppia curva pericolosa, la prima a destra (comportamento) Figura 6
V | Su strada a due sole corsie e a doppio senso di circolazione, in presenza del segnale raffigurato si deve marciare il più possibile vicino al margine destro
V | In presenza del segnale raffigurato è necessario regolare la velocità in relazione alla visibilità e al raggio delle curve
V | In presenza del segnale raffigurato è necessario percorrere le curve con più attenzione in caso di pioggia
V | In presenza del segnale raffigurato è necessario regolare la velocità in relazione alle condizioni di carico del veicolo
V | Nelle curve pericolose preannunciate dal segnale raffigurato è vietato il sorpasso se la carreggiata è a due corsie e a doppio senso di circolazione
V | Su strada a due corsie e a doppio senso di circolazione, in presenza del segnale raffigurato è opportuno fare particolare attenzione ai veicoli provenienti dal senso opposto
F | Il segnale raffigurato preannuncia un tratto di strada in cui è consentita l'inversione di marcia
F | In presenza del segnale raffigurato, posto su strada a due corsie e a doppio senso di circolazione, è consentito sorpas- sare nelle ore diurne
F | Il segnale raffigurato preannuncia un tratto di strada in cui è consentita la manovra di retromarcia
F | In presenza del segnale raffigurato è necessario tenere una velocità moderata esclusivamente nella prima curva
F | In presenza del segnale raffigurato è consentito effettuare la fermata in curva
F | In presenza del segnale raffigurato è consentito sorpassare motocicli e ciclomotori su strada a due corsie e a doppio senso di circolazione 17 Doppia curva pericolosa, la prima a sinistra Figura 7
V | Il segnale raffigurato preannuncia una doppia curva pericolosa, la prima a sinistra
V | Il segnale raffigurato preannuncia un tratto di strada non rettilineo che limita la visibilità
V | Il segnale raffigurato preannuncia la presenza di tornanti se integrato con apposito pannello
V | La figura rappresenta un segnale di pericolo
V | Il segnale raffigurato preannuncia, in genere a 150 m, una doppia curva pericolosa
V | Il segnale raffigurato richiede di moderare la velocità
F | Il segnale raffigurato preannuncia una confluenza a sinistra
F | Il segnale raffigurato preannuncia una strettoia
F | Il segnale raffigurato preannuncia un tratto di carreggiata sdrucciolevole
F | Il segnale raffigurato preannuncia un tratto di strada con una serie di dossi
F | Il segnale raffigurato preannuncia una deviazione per lavori in corso
F | Il segnale raffigurato preannuncia un tratto di strada deformata Doppia curva pericolosa, la prima a sinistra (comportamento) Figura 7
V | In presenza del segnale raffigurato si deve circolare il più vicino possibile al margine destro della carreggiata, su strada a due sole corsie e a doppio senso di circolazione
V | In presenza del segnale raffigurato è necessario regolare la velocità in relazione alla visibilità e al raggio delle curve
V | In presenza del segnale raffigurato è necessario percorrere le curve con più attenzione in caso di pioggia
V | In presenza del segnale raffigurato è necessario regolare la velocità in relazione alle condizioni di carico del veicolo
V | In presenza del segnale raffigurato non è consentito effettuare manovre di sorpasso su strade a due sole corsie e a doppio senso di circolazione
V | In presenza del segnale raffigurato è opportuno fare particolare attenzione ai veicoli provenienti dal senso opposto
F | In presenza del segnale raffigurato è consentita l'inversione di marcia
F | In presenza del segnale raffigurato, posto su strade a due corsie e a doppio senso, è consentito sorpassare un veicolo molto lento
F | In presenza del segnale raffigurato è consentita la manovra di retromarcia
F | In presenza del segnale raffigurato è necessario tenere una velocità moderata esclusivamente nella prima curva
F | In presenza del segnale raffigurato è consentito effettuare la fermata in corrispondenza delle curve
F | In presenza del segnale raffigurato è consentito sorpassare motocicli e ciclomotori su strade a due corsie e a doppio senso 18 Passaggio a livello con barriere o semibarriere Figura 8
V | Il segnale raffigurato preannuncia un passaggio a livello con barriere o con semibarriere
V | Dopo il segnale raffigurato, se ci sono le semibarriere, è installato un dispositivo a luci rosse lampeggianti
V | Il segnale raffigurato preannuncia un attraversamento ferroviario protetto da barriere o semibarriere, qualunque sia il numero dei binari
V | Il segnale raffigurato preannuncia un attraversamento ferroviario munito di barriere o semibarriere
V | Dopo il segnale raffigurato si può trovare un dispositivo acustico che avverte della chiusura delle barriere o delle semibarriere
V | Il segnale raffigurato è posto, di norma, 150 metri prima del passaggio a livello
V | In presenza del segnale raffigurato è necessario moderare la velocità
V | Dopo il segnale raffigurato, se ci sono le barriere, è installato un dispositivo a luce rossa fissa
V | La figura rappresenta un segnale di pericolo
F | Il segnale raffigurato preannuncia l'incrocio con una linea tranviaria
F | Il segnale raffigurato preannuncia una strada senza uscita
F | Il segnale raffigurato obbliga ad arrestarsi se le luci rosse poste in prossimità delle barriere o delle semibarriere sono spente
F | Il segnale raffigurato indica una deviazione obbligatoria
F | Il segnale raffigurato permette di transitare tra una barra e l'altra se le semibarriere sono chiuse, dopo aver verificato che non ci sono treni in arrivo
F | Il segnale raffigurato indica un'area di sosta custodita
F | Il segnale raffigurato si trova prima del segnale verticale DOPPIA CROCE DI S. ANDREA
F | Il segnale raffigurato preannuncia barriere di recinzione di un cantiere stradale
F | Il segnale raffigurato impone di dare la precedenza ai veicoli della polizia penitenziaria in uscita dalle carceri Passaggio a livello con barriere o semibarriere (comportamento) Figura 8
V | In presenza del segnale raffigurato è necessario moderare la velocità per essere pronti ad arrestarsi se le barriere sono chiuse
V | In presenza del segnale raffigurato non è consentito impegnare il passaggio a livello se il traffico intenso impedisce di sgomberarlo
V | In presenza del segnale raffigurato è necessario arrestarsi se sono in funzione le due luci rosse lampeggianti
V | In presenza del segnale raffigurato è necessario arrestarsi se è in funzione il dispositivo acustico che avverte della chiusura delle barriere
V | In presenza del segnale raffigurato, se il veicolo si ferma per avaria sui binari, il conducente deve adottare ogni iniziativa utile al fine di evitare incidenti
F | In presenza del segnale raffigurato è consentito sostare in corrispondenza o in prossimità dei passaggi a livelli
F | In presenza del segnale raffigurato è necessario rallentare solo in caso di scarsa visibilità
F | In presenza del segnale raffigurato è possibile attraversare i binari se sbarrati da cavalletti a strisce bianche e rosse
F | In presenza del segnale raffigurato sono consentite la fermata ma non la sosta in prossimità o in corrispondenza dei binari 19 Passaggio a livello senza barriere Figura 9
V | Il segnale raffigurato preannuncia un attraversamento ferroviario a livello senza barriere
V | Il segnale raffigurato è posto, di norma, a 150 metri dai binari, integrato dal relativo pannello distanziometrico
V | Il segnale raffigurato richiede di usare la massima prudenza
V | La figura rappresenta un segnale di pericolo
V | Dopo il segnale raffigurato è installato il segnale CROCE DI S. ANDREA, che è posizionato prima dei binari
V | Il segnale raffigurato è integrato con il pannello distanziometrico a tre barre rosse
V | Dopo il segnale raffigurato è installato il segnale DOPPIA CROCE DI S. ANDREA, se la linea ferroviaria ha più di un binario
F | Il segnale raffigurato indica l'incrocio con una linea tranviaria
F | Il segnale raffigurato preannuncia un attraversamento ferroviario a livello munito di semibarriere
F | Il segnale raffigurato è posto sul secondo pannello distanziometrico a barre rosse
F | Il segnale raffigurato preannuncia un passaggio a livello con barriere
F | Il segnale raffigurato indica la presenza di una stazione ferroviaria a 150 metri
F | Il segnale raffigurato può essere integrato con un pannello con la scritta TRAM
F | La figura rappresenta un segnale di precedenza Passaggio a livello senza barriere (comportamento) Figura 9
V | In presenza del segnale raffigurato è necessario rallentare in relazione alla visibilità della linea ferroviaria
V | In presenza del segnale raffigurato è necessario usare la massima prudenza
V | In presenza del segnale raffigurato è necessario rallentare per potere, eventualmente, arrestare il veicolo prima dell'at- traversamento ferroviario
V | In presenza del segnale raffigurato è necessario, prima di attraversare, assicurarsi che non ci siano treni in arrivo sia da destra che da sinistra
V | In presenza del segnale raffigurato non è consentito sostare o fermarsi in prossimità o in corrispondenza dei binari
F | In presenza del segnale raffigurato è necessario rallentare esclusivamente in caso di nebbia
F | In presenza del segnale raffigurato è obbligatorio fermarsi prima dei binari se le segnalazioni luminose o acustiche non sono in funzione
F | In presenza del segnale raffigurato è possibile attraversare i binari nel caso siano sbarrati da cavalletti a strisce bianche e rosse
F | In presenza del segnale raffigurato è obbligatorio usare il segnalatore acustico (clacson) prima di attraversare i binari
F | In presenza del segnale raffigurato è consentito il sorpasso invadendo la corsia opposta 20 Croce di S. Andrea Figura 10
V | Il segnale raffigurato indica che la sede ferroviaria ha un solo binario
V | Il segnale raffigurato è posto nelle immediate vicinanze di un attraversamento ferroviario senza barriere
V | Il segnale raffigurato è posto nelle immediate vicinanze del binario
V | Il segnale raffigurato è posto sulla strada dopo il segnale PASSAGGIO A LIVELLO SENZA BARRIERE
V | La figura rappresenta un segnale di pericolo
V | Il segnale raffigurato può essere posto sia in senso orizzontale che in senso verticale
F | Il segnale raffigurato preannuncia una sede ferroviaria con più binari
F | Il segnale raffigurato preannuncia un incrocio di quattro strade
F | Il segnale raffigurato preannuncia una sede tranviaria con un solo binario
F | Il segnale raffigurato è installato in prossimità di un passaggio a livello con semibarriere
F | Il segnale raffigurato è posto prima del segnale PASSAGGIO A LIVELLO SENZA BARRIERE
F | Il segnale raffigurato è integrato da una luce verde ed una rossa fissa
F | Il segnale raffigurato si trova, di norma, a 150 metri dai binari Doppia croce di S. Andrea Figura 11 Figura 908 Figura 909
V | Il segnale raffigurato impone di arrestarsi entro la striscia di arresto, se è in arrivo il treno.
V | Il segnale raffigurato è posto nelle immediate vicinanze di un attraversamento ferroviario a livello senza barriere
V | Il segnale raffigurato indica che la linea ferroviaria ha più di un binario
V | Il segnale raffigurato invita a fare attenzione, prima di attraversare, perché potrebbe transitare più di un treno
V | Il segnale raffigurato si trova dopo i pannelli distanziometrici a barre rosse
V | Il segnale raffigurato è un segnale di pericolo
V | Il segnale (A) può essere abbinato al segnale (B)  (FIG 908)
F | Il segnale raffigurato è posto, di norma, a 150 metri dai binari
F | Il segnale (A) si trova dopo il segnale (B)  (FIG 909)
F | Il segnale raffigurato preannuncia un doppio incrocio stradale pericoloso
F | Il segnale raffigurato indica che la linea ferroviaria ha solo un binario
F | Il segnale raffigurato può essere posto prima di un attraversamento ferroviario con semibarriere
F | Il segnale raffigurato indica che si possono incontrare due passaggi a livello consecutivi, che distano meno di 150 metri l'uno dall'altro
F | Il segnale può avere fondo giallo in caso di lavori ai binari 21 Pannelli distanziometrici ai passaggi a livello Figura 13 Figura 910 Figura 911
V | I pannelli raffigurati sono posti prima di qualsiasi tipo di passaggio a livello
V | I pannelli raffigurati sono posti, di norma, a circa 150, 100 e 50 metri dall'attraversamento ferroviario
V | I pannelli raffigurati servono ad indicare che ci si sta avvicinando al passaggio a livello
V | Il pannello con tre barre rosse (A) è posto sotto il segnale (B)  (FIG 910)
V | Nel caso di attraversamento ferroviario senza barriere, i pannelli (A) sono posti prima del segnale (B)  (FIG 911)
V | Il pannello con tre barre oblique rosse è il primo dei pannelli che si incontra quando ci si approssima ad un passaggio a livello
F | I pannelli raffigurati si possono trovare solo se il passaggio a livello è con barriere
F | I pannelli raffigurati sono segnali di prescrizione
F | I pannelli raffigurati indicano lavori in corso
F | I pannelli raffigurati hanno tante barre diagonali quanti sono i binari del passaggio a livello
F | I pannelli raffigurati, se con due barre, indicano un attraversamento ferroviario con due soli binari
F | I pannelli raffigurati sono installati su cavalletti che vietano il transito dell'attraversamento ferroviario Attraversamento tranviario Figura 14
V | Il segnale raffigurato preannuncia di moderare la velocità perché poco più avanti si potrebbe incrociare un tram
V | Il segnale raffigurato posto fuori dei centri abitati, preannuncia una linea tranviaria non regolata da semafori
V | Il segnale raffigurato, posto nei centri abitati, preannuncia l'incrocio con una linea tranviaria non regolata da semafori
V | Il segnale raffigurato preannuncia, fuori e dentro i centri abitati, una linea tranviaria non regolata da semafori
V | Il segnale raffigurato preannuncia una linea tranviaria che incrocia la carreggiata
V | Il segnale raffigurato preannuncia una linea tranviaria che riduce lo spazio utile per la circolazione dei veicoli
V | In presenza del segnale raffigurato, il conducente deve porre maggiore attenzione per non intralciare la marcia del tram
V | In presenza del segnale raffigurato, il conducente deve prestare maggiore attenzione, perché potrebbe incrociare un tram
F | Il segnale raffigurato preannuncia un eventuale transito di filobus
F | Il segnale raffigurato può essere integrato con un dispositivo a due luci rosse che si accendono alternativamente
F | Il segnale raffigurato obbliga a dare la precedenza ai filobus
F | Il segnale raffigurato vieta il sorpasso dei tram
F | Il segnale raffigurato preannuncia un passaggio a livello ferroviario senza barriere
F | Il segnale raffigurato preannuncia una zona in cui possono circolare solo i veicoli in servizio pubblico 22 Attraversamento tranviario (comportamento) Figura 14
V | In presenza del segnale raffigurato si può sorpassare a destra il tram in marcia se vi è lo spazio necessario
V | In presenza del segnale raffigurato si può circolare sui binari senza intralciare la marcia del tram
V | In presenza del segnale raffigurato si può sorpassare a destra il tram fermo al centro della strada per la salita e discesa dei passeggeri, solo se esiste l'apposito salvagente
V | In presenza del segnale raffigurato si deve fare attenzione agli eventuali pedoni presenti alla fermata del tram
V | In presenza del segnale raffigurato bisogna fare attenzione alla possibile diminuzione di aderenza delle ruote del veicolo se si frena sui binari
V | In presenza del segnale raffigurato occorre tenere presente che il tram necessita di una distanza di arresto maggiore di quella degli autoveicoli
F | In presenza del segnale raffigurato si ha l'obbligo di dare la precedenza ai filobus
F | In presenza del segnale raffigurato il sorpasso dei tram è vietato esclusivamente ai motocicli
F | In presenza del segnale raffigurato è vietata la marcia sopra i binari del tram
F | In presenza del segnale raffigurato il sorpasso del tram è consentito solo a sinistra
F | In presenza del segnale raffigurato il sorpasso del tram è consentito solo a destra
F | In presenza del segnale raffigurato, il tram fermo per la salita e la discesa dei passeggeri può essere sorpassato a destra quando non esiste il salvagente
F | Il segnale raffigurato preannuncia un'area di sosta per autobus
F | Il segnale raffigurato preannuncia una corsia riservata ai filobus Attraversamento pedonale Figura 15
V | Il segnale raffigurato preannuncia un attraversamento pedonale
V | In presenza del segnale raffigurato, il conducente deve dare la precedenza ai pedoni che attraversano sulle strisce
V | Nelle strade extraurbane il segnale raffigurato è posto, di norma, a 150 metri dall'attraversamento
V | Il segnale raffigurato può essere posto anche nei centri abitati
V | Il segnale raffigurato comporta il divieto di sorpassare un veicolo che si sia arrestato per far attraversare i pedoni
F | Il segnale raffigurato preannuncia un luogo frequentato da bambini
F | Il segnale raffigurato preannuncia un viale pedonale
F | Il segnale raffigurato impone di usare i dispositivi di segnalazione acustica per far spostare i pedoni
F | Il segnale raffigurato consente la fermata dei veicoli sull'attraversamento pedonale, purché rimanga spazio sufficiente per i pedoni
F | Il segnale raffigurato vieta il transito ai pedoni
F | Il segnale raffigurato preannuncia un'isola pedonale 23 Attraversamento pedonale (comportamento) Figura 15
V | In presenza del segnale raffigurato non è consentito sorpassare i veicoli che rallentano per far attraversare i pedoni
V | In presenza del segnale raffigurato bisogna rallentare per essere pronti ad arrestarsi se ci sono pedoni che attraversano la carreggiata
V | In presenza del segnale raffigurato si deve fare attenzione a non tamponare i veicoli che si arrestano per dare la prece- denza ai pedoni
V | In presenza del segnale raffigurato non si deve effettuare sosta o fermata sopra le strisce pedonali
V | In presenza del segnale raffigurato, qualora non si dia la precedenza ai pedoni che attraversano sulle apposite strisce, si incorre nella sottrazione di punti della patente
F | In presenza del segnale raffigurato è obbligatorio suonare il clacson se vi sono pedoni che attraversano sulle strisce pedonali
F | In presenza del segnale raffigurato si deve rallentare solo se vi sono bambini che attraversano sulle strisce pedonali
F | In presenza del segnale raffigurato i pedoni devono dare la precedenza ai veicoli
F | In presenza del segnale raffigurato non è obbligatorio dare la precedenza ai pedoni che attraversano sulle strisce pedonali
F | In presenza del segnale raffigurato si deve dare la precedenza solo ai pedoni che attraversano da sinistra
F | Il segnale in figura preannuncia un sovrappasso pedonale
F | Il segnale in figura preannuncia un sottopasso pedonale
F | Il segnale raffigurato è posto in corrispondenza di un attraversamento pedonale Attraversamento ciclabile Figura 16
V | Il segnale raffigurato preannuncia un attraversamento ciclabile
V | Il segnale raffigurato è un segnale di pericolo
V | Il segnale raffigurato preannuncia un attraversamento per ciclisti, contraddistinto dagli appositi segni sulla carreggiata
V | Il segnale raffigurato preannuncia l'approssimarsi di un luogo dal quale possono provenire ciclisti
V | Il segnale raffigurato è posto, di norma, 150 metri prima dell'attraversamento ciclabile
V | Il segnale raffigurato comporta di moderare la velocità in modo da non costituire pericolo per la sicurezza dei ciclisti
F | Il segnale raffigurato è posto in corrispondenza di un attraversamento ciclabile
F | Il segnale raffigurato è un segnale di prescrizione
F | Il segnale raffigurato vieta il transito ai ciclisti
F | Il segnale raffigurato preannuncia l'inizio di una pista ciclabile
F | Il segnale raffigurato indica che si sta svolgendo una gara ciclistica
F | Il segnale raffigurato indica un'area riservata alla circolazione dei ciclomotori 24 Attraversamento ciclabile (comportamento) Figura 16
V | In presenza del segnale raffigurato bisogna comportarsi in modo da non costituire pericolo o intralcio per i ciclisti
V | In presenza del segnale raffigurato bisogna rallentare ed essere pronti ad arrestarsi, se necessario, per dare la prece- denza ai ciclisti che attraversano
V | In presenza del segnale raffigurato non è consentito sorpassare i veicoli che si sono arrestati per far attraversare la carreggiata ai ciclisti
F | In presenza del segnale raffigurato si deve suonare il clacson se vi sono ciclisti che stanno attraversando sulle strisce
F | In presenza del segnale raffigurato è necessario tenere presente che i ciclisti devono dare la precedenza ai veicoli
F | In presenza del segnale raffigurato bisogna dare la precedenza solo ai ciclisti che attraversano da destra Discesa pericolosa Figura 17
V | Il segnale raffigurato è posto prima di una discesa pericolosa
V | Il segnale raffigurato preannuncia una discesa particolarmente pericolosa
V | Il segnale raffigurato preannuncia un tratto di strada sul quale aumenta lo spazio di frenatura del veicolo
V | Il segnale raffigurato preannuncia una discesa e ne specifica la pendenza
V | Il segnale raffigurato comporta di moderare la velocità
V | Il segnale raffigurato richiede di inserire una marcia adeguatamente bassa
F | Il segnale raffigurato preannuncia una salita da percorrere con marcia adeguatamente bassa
F | Il segnale raffigurato preannuncia un tratto di strada pericoloso per il fondo dissestato
F | Il segnale raffigurato specifica la pendenza di una salita
F | Il segnale raffigurato preannuncia un tratto di strada che è bene percorrere con il pedale della frizione abbassato
F | Il segnale raffigurato preannuncia una salita pericolosa
F | Il segnale raffigurato indica che non è consentito superare la velocità di 10 km/h
F | In presenza del segnale raffigurato il pericolo è minore in caso di pioggia 25 Discesa pericolosa (comportamento) Figura 17
V | In presenza del segnale raffigurato, l'inserimento di una marcia bassa consente di sfruttare adeguatamente l'azione frenante del motore
V | In presenza del segnale raffigurato si deve moderare la velocità per evitare di tamponare veicoli che procedono più lentamente
V | In presenza del segnale raffigurato bisogna evitare l'uso prolungato dei freni per non surriscaldarli
V | In presenza del segnale raffigurato bisogna evitare un uso eccessivo dei freni e regolare la velocità inserendo una mar- cia bassa
V | In presenza del segnale raffigurato bisogna usare molta prudenza se la strada è bagnata
F | In presenza del segnale raffigurato si deve rallentare usando continuamente i freni per non danneggiare il cambio di velocità
F | In presenza del segnale raffigurato bisogna inserire la marcia più alta e adeguare la velocità con i freni
F | In presenza del segnale raffigurato bisogna marciare con la frizione abbassata
F | In presenza del segnale raffigurato il conducente deve diminuire la distanza di sicurezza dal veicolo che lo precede Salita ripida Figura 18
V | Il segnale raffigurato è posto prima di una salita ripida
V | Il segnale raffigurato preannuncia una salita da percorrere con prudenza
V | Il segnale raffigurato preannuncia un tratto di strada da percorrere con marcia adeguatamente bassa
V | Il segnale raffigurato specifica la pendenza della salita
F | Il segnale raffigurato preannuncia un tratto di strada da percorrere con il pedale della frizione abbassato
F | Il segnale raffigurato preannuncia un tratto di strada nel quale aumenta lo spazio di frenatura del veicolo
F | Il segnale raffigurato preannuncia un tratto di strada pericoloso per curve strette
F | Il segnale raffigurato preannuncia una discesa e ne specifica la pendenza 26 Strettoia simmetrica Figura 19 Figura 912 Figura 913
V | Il segnale raffigurato preannuncia un restringimento della carreggiata
V | Il segnale raffigurato preannuncia una strettoia con probabili difficoltà di incrocio con i veicoli provenienti dal senso opposto
V | Il segnale raffigurato preannuncia un restringimento sui due lati della carreggiata
V | Il segnale in figura è un segnale di pericolo
V | Dopo il segnale (A) si può trovare il segnale (B)  (FIG 913)
V | Dopo il segnale (A) si può trovare il segnale (B)  (FIG 912)
V | Il segnale raffigurato, se a fondo giallo, è posto in presenza di un cantiere stradale che riduce la larghezza della carreggiata
V | Il segnale raffigurato comporta di moderare la velocità
F | Il segnale raffigurato preannuncia un senso unico alternato con l'obbligo di dare la precedenza ai veicoli provenienti dall'altro senso
F | Il segnale raffigurato preannuncia che i veicoli provenienti dall'altro senso devono darci la precedenza
F | Il segnale raffigurato preannuncia un divieto di transito agli autobus
F | Il segnale raffigurato preannuncia un lungo rettilineo
F | Il segnale raffigurato preannuncia l'ingresso di una galleria
F | Il segnale raffigurato è un segnale di prescrizione
F | Il segnale raffigurato preannuncia una strada a senso unico
F | Il segnale raffigurato preannuncia una corsia di accelerazione Strettoia a sinistra Figura 20
V | Il segnale raffigurato preannuncia un restringimento della carreggiata
V | Il segnale raffigurato preannuncia una strettoia sul lato sinistro della carreggiata
V | Il segnale raffigurato preannuncia un restringimento pericoloso sulla sinistra della carreggiata
V | Il segnale raffigurato preannuncia una strettoia con probabile difficoltà di incrocio con i veicoli provenienti dal senso opposto
V | Il segnale raffigurato impone di moderare la velocità e, se occorre, arrestarsi
V | Il segnale raffigurato è un segnale di pericolo
V | Il segnale raffigurato, se a fondo giallo, è posto in presenza di un cantiere stradale che riduce la larghezza della carreggiata
F | Il segnale raffigurato è un segnale di prescrizione
F | Il segnale raffigurato preannuncia una confluenza da sinistra
F | Il segnale raffigurato preannuncia una strada con una serie di curve
F | Il segnale raffigurato preannuncia un cavalcavia
F | Il segnale raffigurato preannuncia un sottopassaggio pedonale
F | Il segnale raffigurato preannuncia un restringimento sulla destra della carreggiata
F | Il segnale raffigurato preannuncia la presenza di un cordolo alto per separare le corsie
F | Il segnale raffigurato preannuncia un tratto di strada sdrucciolevole 27 Strettoia a destra Figura 21
V | Il segnale raffigurato preannuncia una strettoia sulla destra della carreggiata
V | Il segnale raffigurato preannuncia una strettoia causata da un ostacolo fisso sul lato destro
V | Il segnale raffigurato preannuncia un restringimento pericoloso sulla destra della carreggiata
V | Il segnale raffigurato preannuncia il restringimento della carreggiata causato da muretti o altro ostacolo sul lato destro
V | Il segnale raffigurato può trovarsi anche su strada a doppio senso di circolazione
V | Il segnale raffigurato, se a fondo giallo, è posto in presenza di un cantiere che riduce la larghezza della carreggiata
F | Il segnale raffigurato indica la fine del doppio senso di circolazione
F | Il segnale raffigurato obbliga a dare la precedenza ai veicoli provenienti dal senso opposto
F | Il segnale raffigurato autorizza la marcia per file parallele
F | Il segnale raffigurato indica di disporsi su due file
F | Il segnale raffigurato preannuncia una confluenza da destra
F | Il segnale raffigurato preannuncia l'inizio di un senso unico Bambini Figura 25
V | Il segnale raffigurato può preannunciare la presenza di una scuola frequentata da bambini nelle vicinanze
V | Il segnale raffigurato può essere posto nelle vicinanze di un campo da gioco frequentato da bambini
V | Il segnale raffigurato preannuncia luoghi frequentati da fanciulli
V | Il segnale raffigurato è un segnale di pericolo
V | Il segnale raffigurato può essere posto nelle vicinanze di giardini pubblici frequentati da bambini
V | Il segnale raffigurato invita a circolare a velocità moderata
V | Il segnale raffigurato invita a considerare eventuali comportamenti imprudenti di fanciulli
F | Il segnale raffigurato vieta il transito ai bambini non accompagnati
F | Il segnale raffigurato preannuncia un attraversamento pedonale
F | Il segnale raffigurato indica la fine di un viale riservato ai bambini
F | Il segnale raffigurato preannuncia un percorso pedonale
F | Il segnale raffigurato vieta il transito ai veicoli a motore durante l'orario di uscita dei bambini dalla scuola
F | Il segnale raffigurato indica la fermata di uno scuolabus
F | Il segnale raffigurato è posto sulla parte posteriore dello scuolabus 28 Bambini (comportamento) Figura 25
V | In presenza del segnale raffigurato occorre prestare particolare attenzione per la possibile presenza di bambini
V | In presenza del segnale raffigurato è necessario moderare la velocità e prestare attenzione ai bambini anche se si trovano sui marciapiedi
V | In presenza del segnale raffigurato occorre prestare particolare attenzione ai movimenti imprevedibili dei bambini
V | In presenza del segnale raffigurato è vietato sorpassare i veicoli che si sono fermati per lasciare attraversare i bambini
F | In presenza del segnale raffigurato è necessario fare attenzione ai bambini sulla carreggiata e non a quelli sul marciapiede
F | In presenza del segnale raffigurato è vietato transitare durante l'orario di uscita dei bambini da scuola
F | In presenza del segnale raffigurato è vietato superare la velocità di 30 km/h Ponte mobile Figura 22
V | Il segnale raffigurato preannuncia un ponte mobile
V | Il segnale raffigurato è un segnale di pericolo
